# tracer: function
#
# function latency trace v1.1.5 on 2.6.39
# --------------------------------------------------------------------
# latency: 0 us, #59981/96762, CPU#0 | (M:preempt VP:0, KP:0, SP:0 HP:0 #P:1)
#    -----------------
#    | task: -0 (uid:0 nice:0 policy:0 rt_prio:0)
#    -----------------
#
#                  _------=> CPU#            
#                 / _-----=> irqs-off        
#                | / _----=> need-resched    
#                || / _---=> hardirq/softirq 
#                ||| / _--=> preempt-depth   
#                |||| /     delay             
#  cmd     pid   ||||| time  |   caller      
#     \   /      |||||  \    |   /           
      sh-1       0d... 25359949us+: __local_bh_disable <-__do_softirq
      sh-1       0..s. 25359956us+: run_timer_softirq <-__do_softirq
      sh-1       0..s. 25359960us+: hrtimer_run_pending <-run_timer_softirq
      sh-1       0..s. 25359963us+: _raw_spin_lock_irq <-run_timer_softirq
      sh-1       0d.s1 25359967us+: _raw_spin_unlock_irq <-run_timer_softirq
      sh-1       0..s. 25359972us+: rcu_bh_qs <-__do_softirq
      sh-1       0..s. 25359975us+: rcu_process_callbacks <-__do_softirq
      sh-1       0..s. 25359979us+: __rcu_process_callbacks <-rcu_process_callbacks
      sh-1       0..s. 25359982us+: rcu_process_gp_end.isra.10 <-__rcu_process_callbacks
      sh-1       0..s. 25359987us+: check_for_new_grace_period.isra.12 <-__rcu_process_callbacks
      sh-1       0..s. 25359991us+: __rcu_process_callbacks <-rcu_process_callbacks
      sh-1       0..s. 25359995us+: rcu_process_gp_end.isra.10 <-__rcu_process_callbacks
      sh-1       0..s. 25359998us+: check_for_new_grace_period.isra.12 <-__rcu_process_callbacks
      sh-1       0..s. 25360002us+: __rcu_process_callbacks <-rcu_process_callbacks
      sh-1       0..s. 25360006us+: rcu_process_gp_end.isra.10 <-__rcu_process_callbacks
      sh-1       0..s. 25360009us+: check_for_new_grace_period.isra.12 <-__rcu_process_callbacks
      sh-1       0..s. 25360013us+: _raw_spin_lock_irqsave <-__rcu_process_callbacks
      sh-1       0d.s1 25360019us+: rcu_start_gp <-__rcu_process_callbacks
      sh-1       0d.s1 25360024us+: _raw_spin_unlock_irqrestore <-rcu_start_gp
      sh-1       0..s. 25360030us+: rcu_bh_qs <-__do_softirq
      sh-1       0d.s. 25360034us+: __local_bh_enable <-__do_softirq
      sh-1       0d..1 25360039us+: rcu_irq_exit <-irq_exit
      sh-1       0d..1 25360044us+: idle_cpu <-irq_exit
      sh-1       0.... 25360051us+: avc_audit <-avc_has_perm_flags
      sh-1       0.... 25360059us+: do_vfs_ioctl <-sys_ioctl
      sh-1       0.... 25360066us+: tty_ioctl <-do_vfs_ioctl
      sh-1       0.... 25360069us+: tty_paranoia_check <-tty_ioctl
      sh-1       0.... 25360078us+: uart_ioctl <-tty_ioctl
      sh-1       0.... 25360082us+: mutex_lock <-uart_ioctl
      sh-1       0.... 25360089us+: mutex_unlock <-uart_ioctl
      sh-1       0.... 25360093us+: tty_ldisc_ref_wait <-tty_ioctl
      sh-1       0.... 25360096us+: tty_ldisc_try <-tty_ldisc_ref_wait
      sh-1       0.... 25360100us+: _raw_spin_lock_irqsave <-tty_ldisc_try
      sh-1       0d..1 25360106us+: _raw_spin_unlock_irqrestore <-tty_ldisc_try
      sh-1       0.... 25360111us+: n_tty_ioctl <-tty_ioctl
      sh-1       0.... 25360116us+: n_tty_ioctl_helper <-n_tty_ioctl
      sh-1       0.... 25360120us+: tty_mode_ioctl <-n_tty_ioctl_helper
      sh-1       0.... 25360127us+: copy_termios <-tty_mode_ioctl
      sh-1       0.... 25360130us+: mutex_lock <-copy_termios
      sh-1       0.... 25360136us+: mutex_unlock <-copy_termios
      sh-1       0.... 25360141us+: copy_to_user <-tty_mode_ioctl
      sh-1       0.... 25360145us+: __copy_to_user_ll <-copy_to_user
      sh-1       0.... 25360150us+: tty_ldisc_deref <-tty_ioctl
      sh-1       0.... 25360167us+: put_ldisc <-tty_ldisc_deref
      sh-1       0.... 25360173us+: __wake_up <-put_ldisc
      sh-1       0.... 25360176us+: _raw_spin_lock_irqsave <-__wake_up
      sh-1       0d..1 25360181us+: __wake_up_common <-__wake_up
      sh-1       0d..1 25360184us+: _raw_spin_unlock_irqrestore <-__wake_up
      sh-1       0.... 25360197us+: sys_ioctl <-sysenter_do_call
      sh-1       0.... 25360201us+: fget_light <-sys_ioctl
      sh-1       0.... 25360205us+: security_file_ioctl <-sys_ioctl
      sh-1       0.... 25360209us+: selinux_file_ioctl <-security_file_ioctl
      sh-1       0.... 25360213us+: file_has_perm <-selinux_file_ioctl
      sh-1       0.... 25360218us+: inode_has_perm <-file_has_perm
      sh-1       0.... 25360222us+: avc_has_perm_flags <-inode_has_perm
      sh-1       0.... 25360226us+: avc_has_perm_noaudit <-avc_has_perm_flags
      sh-1       0.... 25360229us+: __rcu_read_lock <-avc_has_perm_noaudit
      sh-1       0.... 25360237us+: __rcu_read_unlock <-avc_has_perm_noaudit
      sh-1       0.... 25360240us+: avc_audit <-avc_has_perm_flags
      sh-1       0.... 25360244us+: do_vfs_ioctl <-sys_ioctl
      sh-1       0.... 25360247us+: tty_ioctl <-do_vfs_ioctl
      sh-1       0.... 25360250us+: tty_paranoia_check <-tty_ioctl
      sh-1       0.... 25360255us+: uart_ioctl <-tty_ioctl
      sh-1       0.... 25360259us+: mutex_lock <-uart_ioctl
      sh-1       0.... 25360264us+: mutex_unlock <-uart_ioctl
      sh-1       0.... 25360267us+: tty_ldisc_ref_wait <-tty_ioctl
      sh-1       0.... 25360270us+: tty_ldisc_try <-tty_ldisc_ref_wait
      sh-1       0.... 25360273us+: _raw_spin_lock_irqsave <-tty_ldisc_try
      sh-1       0d..1 25360278us+: _raw_spin_unlock_irqrestore <-tty_ldisc_try
      sh-1       0.... 25360283us+: n_tty_ioctl <-tty_ioctl
      sh-1       0.... 25360286us+: n_tty_ioctl_helper <-n_tty_ioctl
      sh-1       0.... 25360289us+: tty_mode_ioctl <-n_tty_ioctl_helper
      sh-1       0.... 25360294us+: set_termios <-tty_mode_ioctl
      sh-1       0.... 25360298us+: tty_check_change <-set_termios
      sh-1       0.... 25360303us+: mutex_lock <-set_termios
      sh-1       0.... 25360307us+: mutex_unlock <-set_termios
      sh-1       0.... 25360312us+: _copy_from_user <-set_termios
      sh-1       0.... 25360315us+: __copy_from_user_ll <-_copy_from_user
      sh-1       0.... 25360319us+: tty_termios_input_baud_rate <-set_termios
      sh-1       0.... 25360323us+: tty_termios_baud_rate <-tty_termios_input_baud_rate
      sh-1       0.... 25360327us+: tty_termios_baud_rate <-set_termios
      sh-1       0.... 25360331us+: tty_ldisc_ref <-set_termios
      sh-1       0.... 25360334us+: tty_ldisc_try <-tty_ldisc_ref
      sh-1       0.... 25360337us+: _raw_spin_lock_irqsave <-tty_ldisc_try
      sh-1       0d..1 25360342us+: _raw_spin_unlock_irqrestore <-tty_ldisc_try
      sh-1       0.... 25360346us+: tty_ldisc_deref <-set_termios
      sh-1       0.... 25360349us+: put_ldisc <-tty_ldisc_deref
      sh-1       0.... 25360353us+: __wake_up <-put_ldisc
      sh-1       0.... 25360356us+: _raw_spin_lock_irqsave <-__wake_up
      sh-1       0d..1 25360360us+: __wake_up_common <-__wake_up
      sh-1       0d..1 25360363us+: _raw_spin_unlock_irqrestore <-__wake_up
      sh-1       0.... 25360368us+: tty_set_termios <-set_termios
      sh-1       0.... 25360372us+: mutex_lock <-tty_set_termios
      sh-1       0.... 25360378us+: uart_set_termios <-tty_set_termios
      sh-1       0.... 25360384us+: tty_ldisc_ref <-tty_set_termios
      sh-1       0.... 25360387us+: tty_ldisc_try <-tty_ldisc_ref
      sh-1       0.... 25360390us+: _raw_spin_lock_irqsave <-tty_ldisc_try
      sh-1       0d..1 25360394us+: _raw_spin_unlock_irqrestore <-tty_ldisc_try
      sh-1       0.... 25360400us+: n_tty_set_termios <-tty_set_termios
      sh-1       0.... 25360409us+: n_tty_set_room <-n_tty_set_termios
      sh-1       0.... 25360414us+: __wake_up <-n_tty_set_termios
      sh-1       0.... 25360417us+: _raw_spin_lock_irqsave <-__wake_up
      sh-1       0d..1 25360422us+: __wake_up_common <-__wake_up
      sh-1       0d..1 25360426us+: _raw_spin_unlock_irqrestore <-__wake_up
      sh-1       0.... 25360432us+: __wake_up <-n_tty_set_termios
      sh-1       0.... 25360435us+: _raw_spin_lock_irqsave <-__wake_up
      sh-1       0d..1 25360439us+: __wake_up_common <-__wake_up
      sh-1       0d..1 25360443us+: _raw_spin_unlock_irqrestore <-__wake_up
      sh-1       0.... 25360449us+: tty_ldisc_deref <-tty_set_termios
      sh-1       0.... 25360480us+: put_ldisc <-tty_ldisc_deref
      sh-1       0d... 25360487us+: smp_apic_timer_interrupt <-apic_timer_interrupt
      sh-1       0d... 25360490us+: native_apic_mem_write <-smp_apic_timer_interrupt
      sh-1       0d... 25360494us+: irq_enter <-smp_apic_timer_interrupt
      sh-1       0d... 25360498us+: rcu_irq_enter <-irq_enter
      sh-1       0d... 25360501us+: idle_cpu <-irq_enter
      sh-1       0d.h. 25360506us+: hrtimer_interrupt <-smp_apic_timer_interrupt
      sh-1       0d.h. 25360509us+: ktime_get <-hrtimer_interrupt
      sh-1       0d.h. 25360513us+: _raw_spin_lock <-hrtimer_interrupt
      sh-1       0d.h1 25360517us+: __run_hrtimer <-hrtimer_interrupt
      sh-1       0d.h1 25360520us+: _raw_spin_lock_irqsave <-debug_object_deactivate.part.3
      sh-1       0d.h2 25360525us+: _raw_spin_unlock_irqrestore <-debug_object_deactivate.part.3
      sh-1       0d.h1 25360532us+: _raw_spin_unlock <-__run_hrtimer
      sh-1       0d.h. 25360536us+: tick_sched_timer <-__run_hrtimer
      sh-1       0d.h. 25360539us+: ktime_get <-tick_sched_timer
      sh-1       0d.h. 25360543us+: tick_do_update_jiffies64 <-tick_sched_timer
      sh-1       0d.h. 25360546us+: _raw_spin_lock <-tick_do_update_jiffies64
      sh-1       0d.h1 25360550us+: do_timer <-tick_do_update_jiffies64
      sh-1       0d.h1 25360557us+: calc_global_load <-do_timer
      sh-1       0d.h1 25360561us+: _raw_spin_unlock <-tick_do_update_jiffies64
      sh-1       0d.h. 25360565us+: update_process_times <-tick_sched_timer
      sh-1       0d.h. 25360569us+: account_process_tick <-update_process_times
      sh-1       0d.h. 25360572us+: account_system_time <-account_process_tick
      sh-1       0d.h. 25360576us+: cpuacct_update_stats <-account_system_time
      sh-1       0d.h. 25360579us+: __rcu_read_lock <-cpuacct_update_stats
      sh-1       0d.h. 25360583us+: __rcu_read_unlock <-cpuacct_update_stats
      sh-1       0d.h. 25360586us+: acct_update_integrals <-account_system_time
      sh-1       0d.h. 25360590us+: jiffies_to_timeval <-acct_update_integrals
      sh-1       0d.h. 25360594us+: get_mm_counter <-acct_update_integrals
      sh-1       0d.h. 25360597us+: get_mm_counter <-acct_update_integrals
      sh-1       0d.h. 25360601us+: hrtimer_run_queues <-update_process_times
      sh-1       0d.h. 25360604us+: raise_softirq <-update_process_times
      sh-1       0d.h. 25360608us+: rcu_check_callbacks <-update_process_times
      sh-1       0d.h. 25360611us+: idle_cpu <-rcu_check_callbacks
      sh-1       0d.h. 25360615us+: __rcu_pending <-rcu_check_callbacks
      sh-1       0d.h. 25360618us+: raise_softirq <-rcu_check_callbacks
      sh-1       0d.h. 25360622us+: printk_tick <-update_process_times
      sh-1       0d.h. 25360625us+: scheduler_tick <-update_process_times
      sh-1       0d.h. 25360629us+: ktime_get <-sched_clock_tick
      sh-1       0d.h. 25360634us+: _raw_spin_lock <-scheduler_tick
      sh-1       0d.h1 25360638us+: update_rq_clock.part.124 <-scheduler_tick
